name,pic,hashtag,name,deep_features
ccf7c9d0-20fb-476b-8bbc-66be5da3371d.jpg,"tf.Tensor(
[[[-0.6313726  -0.60784316 -0.8352941 ]
  [-0.94509804 -0.92941177 -0.9362745 ]
  [-0.6813726  -0.7313726  -0.6990196 ]
  ...
  [-0.99313724 -0.15392156  0.28529418]
  [-0.96862745 -0.12941176  0.30980396]
  [-0.9852941  -0.14607842  0.2931373 ]]

 [[-0.7490196  -0.72352946 -0.63431376]
  [ 0.21960786  0.24313727  0.29803923]
  [-0.65882355 -0.75       -0.65      ]
  ...
  [-0.9764706  -0.15294117  0.2941177 ]
  [-0.96862745 -0.12941176  0.30980396]
  [-0.9647059  -0.12549019  0.31372553]]

 [[ 0.76666665  0.7980392   0.79607844]
  [ 0.5950981   0.63431376  0.59313726]
  [-0.5156863  -0.52843136 -0.4862745 ]
  ...
  [-1.         -0.18431371  0.26274514]
  [-0.9764706  -0.1372549   0.30196083]
  [-0.9843137  -0.14509803  0.2941177 ]]

 ...

 [[-0.34313723 -0.1235294  -0.6019608 ]
  [-0.28137255 -0.10098039 -0.5401961 ]
  [-0.37941176 -0.20686273 -0.57549024]
  ...
  [-0.67941177 -0.49117646 -0.8931373 ]
  [-0.6313726  -0.41960782 -0.82549024]
  [-0.54607844 -0.31372547 -0.70000005]]

 [[-0.33725488 -0.1490196  -0.5568628 ]
  [-0.48921567 -0.3009804  -0.677451  ]
  [-0.4862745  -0.3215686  -0.65882355]
  ...
  [-0.74803925 -0.5127451  -0.904902  ]
  [-0.5686275  -0.33039212 -0.76274514]
  [-0.80490196 -0.5617647  -0.9647059 ]]

 [[-0.44215685 -0.26960784 -0.63823533]
  [-0.58137256 -0.41666663 -0.75392157]
  [-0.42647058 -0.25392157 -0.5519608 ]
  ...
  [-0.78039217 -0.5372549  -0.85882354]
  [-0.09705882  0.14607847 -0.3245098 ]
  [-0.5676471  -0.33235294 -0.72450984]]], shape=(160, 160, 3), dtype=float32)",fitness,ccf7c9d0-20fb-476b-8bbc-66be5da3371d.jpg,[1.012492   0.28948903 0.         ... 2.1862402  0.         0.        ]
48458a57-53fd-4c37-8187-5195d4cbb96f.jpg,"tf.Tensor(
[[[-0.07549019 -0.05980392 -0.06764705]
  [-0.10392156 -0.09607843 -0.08039215]
  [-0.1745098  -0.16666666 -0.15098038]
  ...
  [-0.16568626 -0.12647058 -0.15784313]
  [-0.05784313 -0.01862745 -0.05      ]
  [-0.12156862 -0.08235294 -0.11372548]]

 [[-0.20784312 -0.19215685 -0.19999999]
  [-0.18431371 -0.17647058 -0.1607843 ]
  [-0.22647057 -0.21862744 -0.20294116]
  ...
  [-0.18137254 -0.14215685 -0.1735294 ]
  [-0.23725489 -0.1980392  -0.22941175]
  [-0.09803921 -0.05882353 -0.09019607]]

 [[-0.04999999 -0.03431372 -0.04215685]
  [-0.14411764 -0.1362745  -0.12058823]
  [-0.09607843 -0.08823529 -0.07254902]
  ...
  [-0.21470587 -0.17549019 -0.20686273]
  [-0.11764705 -0.07843137 -0.10980392]
  [-0.15490195 -0.11568627 -0.14705881]]

 ...

 [[ 0.09607849  0.05098045 -0.04215686]
  [ 0.082353    0.03431378 -0.05784313]
  [ 0.06372555  0.01862751 -0.0745098 ]
  ...
  [ 0.02843143 -0.01960784 -0.1117647 ]
  [ 0.03333339 -0.01176471 -0.10490195]
  [ 0.02647065 -0.02156863 -0.11372548]]

 [[-0.10490194 -0.11470586 -0.15588234]
  [-0.10980392 -0.11960784 -0.1607843 ]
  [-0.09509802 -0.10490194 -0.14607841]
  ...
  [-0.11862743 -0.12843135 -0.16960783]
  [-0.12647057 -0.13627449 -0.17745097]
  [-0.13529411 -0.14509803 -0.1862745 ]]

 [[-0.9676471  -0.98039216 -0.98137254]
  [-0.9578431  -0.9705882  -0.97156864]
  [-0.9754902  -0.9882353  -0.9892157 ]
  ...
  [-0.9862745  -0.9941176  -1.        ]
  [-0.9862745  -0.9941176  -1.        ]
  [-0.9862745  -0.9941176  -1.        ]]], shape=(160, 160, 3), dtype=float32)",fitness,48458a57-53fd-4c37-8187-5195d4cbb96f.jpg,[2.6565375  0.04664375 0.1740993  ... 0.01879795 0.         0.        ]
e01f1c0f-7d17-4608-a4fa-a69f0f9b950c.jpg,"tf.Tensor(
[[[-0.8718383  -0.8404657  -0.8326226 ]
  [-0.94414216 -0.9127696  -0.9049265 ]
  [-0.9267402  -0.91105396 -0.9188971 ]
  ...
  [-0.31705877 -0.24455878 -0.26904407]
  [-0.8942157  -0.90110296 -0.93056375]
  [-0.7710295  -0.8083334  -0.8563481 ]]

 [[-0.8467647  -0.83892155 -0.8232353 ]
  [-0.837402   -0.82955885 -0.79531866]
  [-0.88563746 -0.8299757  -0.8427944 ]
  ...
  [-0.95370096 -0.95370096 -0.9380147 ]
  [-0.71436256 -0.70938706 -0.69943607]
  [-0.590049   -0.590049   -0.590049  ]]

 [[-1.         -0.9607843  -0.96862745]
  [-0.66850495 -0.60575986 -0.58223045]
  [ 0.73982847  0.86360294  0.9089461 ]
  ...
  [-0.9420343  -0.9420343  -0.92634803]
  [-0.98125    -0.98125    -0.98125   ]
  [-0.96384805 -0.96384805 -0.96384805]]

 ...

 [[ 0.40735298  0.2818628   0.10147064]
  [ 0.47928923  0.35379905  0.17340691]
  [ 0.52904415  0.40355396  0.27806377]
  ...
  [-0.9716912  -0.90110296 -0.8618873 ]
  [-0.91813725 -0.8632353  -0.8161765 ]
  [-0.93517154 -0.8802696  -0.83321077]]

 [[ 0.41942787  0.30178082  0.13707496]
  [ 0.47948456  0.3618375   0.19713163]
  [ 0.5558096   0.43031943  0.30482924]
  ...
  [-0.96786535 -0.90512025 -0.88159084]
  [-0.9330423  -0.87814033 -0.8310815 ]
  [-0.8972771  -0.84237516 -0.79531634]]

 [[ 0.47546628  0.38727888  0.24514596]
  [ 0.5137255   0.41960788  0.30789104]
  [ 0.6         0.47450984  0.35686278]
  ...
  [-0.95581055 -0.89306545 -0.86953604]
  [-0.97933996 -0.91659486 -0.89306545]
  [-0.9638452  -0.9011001  -0.8775707 ]]], shape=(160, 160, 3), dtype=float32)",fitness,e01f1c0f-7d17-4608-a4fa-a69f0f9b950c.jpg,[0.58295864 0.23839319 1.156593   ... 0.0744347  0.13276494 0.00586338]
4b8c8576-7a06-4cfe-aabc-139c37291697.jpg,"tf.Tensor(
[[[-0.99215686 -0.99215686 -0.99215686]
  [-0.99215686 -0.99215686 -0.99215686]
  [-1.         -1.         -1.        ]
  ...
  [-0.99215686 -0.99215686 -0.99215686]
  [-0.99215686 -0.99215686 -0.99215686]
  [-0.99215686 -0.99215686 -0.99215686]]

 [[-0.99215686 -0.99215686 -0.99215686]
  [-0.99215686 -0.99215686 -0.99215686]
  [-1.         -1.         -1.        ]
  ...
  [-0.99215686 -0.99215686 -0.99215686]
  [-0.99215686 -0.99215686 -0.99215686]
  [-0.99215686 -0.99215686 -0.99215686]]

 [[-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  ...
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]]

 ...

 [[-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  ...
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]]

 [[-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  ...
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]]

 [[-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  ...
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]]], shape=(160, 160, 3), dtype=float32)",fitness,4b8c8576-7a06-4cfe-aabc-139c37291697.jpg,[0.00878518 0.6243826  0.4894838  ... 0.17376657 1.2705986  0.        ]
d1348173-0d7d-47eb-931c-ce23892d17d1.jpg,"tf.Tensor(
[[[-0.9529412  -0.96862745 -0.9607843 ]
  [-0.94509804 -0.9607843  -0.9529412 ]
  [-0.9529412  -0.9529412  -0.9372549 ]
  ...
  [-0.04411764 -0.17745097 -0.41274506]
  [-0.10392156 -0.20588234 -0.4735294 ]
  [-0.17745097 -0.28725487 -0.5147059 ]]

 [[-0.9529412  -0.9529412  -0.9529412 ]
  [-0.9607843  -0.9607843  -0.9607843 ]
  [-0.95882356 -0.94215685 -0.92941177]
  ...
  [-0.08431372 -0.23333332 -0.49215683]
  [-0.11470588 -0.2480392  -0.4617647 ]
  [-0.05882353 -0.18431371 -0.45098037]]

 [[-0.86960787 -0.9166667  -0.9009804 ]
  [-0.8931373  -0.9401961  -0.9245098 ]
  [-0.90686274 -0.91176474 -0.9372549 ]
  ...
  [-0.08431372 -0.23333332 -0.49215683]
  [-0.05686274 -0.18235293 -0.4588235 ]
  [-0.19215685 -0.32549018 -0.54509807]]

 ...

 [[ 0.62058824  0.73039216  0.9343137 ]
  [ 0.60784316  0.7176471   0.92156863]
  [ 0.5921569   0.7254902   0.92941177]
  ...
  [-0.3960784  -0.02745098  0.09803927]
  [-0.39411762  0.01176476  0.15784319]
  [-0.3862745   0.0196079   0.16568632]]

 [[ 0.5529412   0.6784314   0.9372549 ]
  [ 0.54509807  0.67058825  0.92941177]
  [ 0.52450985  0.6892157   0.9166667 ]
  ...
  [-0.39411762 -0.05098039  0.08823535]
  [-0.422549   -0.09705882 -0.02549017]
  [-0.40588233 -0.0862745   0.00784317]]

 [[ 0.5666667   0.70000005  0.93529415]
  [ 0.5058824   0.67058825  0.8980392 ]
  [ 0.51274514  0.677451    0.92058825]
  ...
  [-0.3352941  -0.29999998 -0.29117644]
  [-0.3480392  -0.40098035 -0.44607842]
  [-0.0872549  -0.02254901 -0.00686274]]], shape=(160, 160, 3), dtype=float32)",fitness,d1348173-0d7d-47eb-931c-ce23892d17d1.jpg,"[1.3090137e+00 1.4172566e-01 2.0101547e-04 ... 0.0000000e+00 6.2857650e-02
 1.1746948e+00]"
4715f428-c50f-4e5b-a25e-4e9af61ebe90.jpg,"tf.Tensor(
[[[-0.89029413 -0.89029413 -0.89029413]
  [-0.90205884 -0.90205884 -0.90205884]
  [-0.8208824  -0.8208824  -0.8208824 ]
  ...
  [-0.7984314  -0.78382355 -0.7703922 ]
  [-0.7984314  -0.78382355 -0.7703922 ]
  [-0.7995098  -0.8151961  -0.7916667 ]]

 [[-0.9137255  -0.9137255  -0.9137255 ]
  [-0.9089706  -0.9089706  -0.9089706 ]
  [-0.88235295 -0.88235295 -0.88235295]
  ...
  [-0.7490196  -0.7647059  -0.7411765 ]
  [-0.7647059  -0.78039217 -0.75686276]
  [-0.77254903 -0.7882353  -0.7647059 ]]

 [[-0.92156863 -0.92156863 -0.92156863]
  [-0.9089706  -0.9089706  -0.9089706 ]
  [-0.8901961  -0.8901961  -0.8901961 ]
  ...
  [-0.7620098  -0.7620098  -0.7463235 ]
  [-0.7647059  -0.7647059  -0.7490196 ]
  [-0.7647059  -0.7647059  -0.7490196 ]]

 ...

 [[-0.38886333 -0.38886333 -0.38886333]
  [-0.35995096 -0.35995096 -0.35995096]
  [-0.36416972 -0.36416972 -0.36416972]
  ...
  [-0.49019605 -0.5058824  -0.4980392 ]
  [-0.5359037  -0.55158997 -0.5437468 ]
  [-0.52156866 -0.5529412  -0.54509807]]

 [[-0.3960784  -0.3960784  -0.3960784 ]
  [-0.3290029  -0.3290029  -0.3290029 ]
  [-0.2883051  -0.2883051  -0.2883051 ]
  ...
  [-0.5413239  -0.5570102  -0.54916704]
  [-0.5556053  -0.57129157 -0.5634484 ]
  [-0.57539254 -0.5910788  -0.5832357 ]]

 [[-0.33666703 -0.33666703 -0.33666703]
  [-0.3042155  -0.3042155  -0.3042155 ]
  [-0.2940914  -0.2940914  -0.2940914 ]
  ...
  [-0.5211273  -0.53681356 -0.5289704 ]
  [-0.5585296  -0.5742159  -0.56637275]
  [-0.55201155 -0.5676978  -0.5598547 ]]], shape=(160, 160, 3), dtype=float32)",fitness,4715f428-c50f-4e5b-a25e-4e9af61ebe90.jpg,[0.00168641 1.0278174  1.3529357  ... 1.3358189  0.         1.2447082 ]
93d9c497-0494-44b6-b03b-36eab06a303a.jpg,"tf.Tensor(
[[[-0.9137255  -0.9137255  -0.9137255 ]
  [-0.9137255  -0.9137255  -0.9137255 ]
  [-0.9137255  -0.9137255  -0.9137255 ]
  ...
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  [-0.99215686 -0.99215686 -0.99215686]]

 [[-0.9137255  -0.9137255  -0.9137255 ]
  [-0.9137255  -0.9137255  -0.9137255 ]
  [-0.9161765  -0.9161765  -0.9161765 ]
  ...
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]]

 [[-0.9112745  -0.9112745  -0.9112745 ]
  [-0.9137255  -0.9137255  -0.9137255 ]
  [-0.9126532  -0.9126532  -0.9126532 ]
  ...
  [-0.997549   -0.99509805 -1.        ]
  [-0.997549   -0.99708945 -1.        ]
  [-1.         -1.         -1.        ]]

 ...

 [[-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  [-0.9655331  -0.9655331  -0.9655331 ]
  ...
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]]

 [[-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  [-0.9981618  -0.9981618  -0.9981618 ]
  ...
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]]

 [[-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  ...
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]
  [-1.         -1.         -1.        ]]], shape=(160, 160, 3), dtype=float32)",fitness,93d9c497-0494-44b6-b03b-36eab06a303a.jpg,[0.1700955  1.022408   1.4385152  ... 0.09754829 0.00968508 0.        ]
ce5865eb-a556-4bc1-a4f2-50a65006c149.jpg,"tf.Tensor(
[[[0.9627451 0.9627451 0.9627451]
  [0.9627451 0.9627451 0.9627451]
  [0.9627451 0.9627451 0.9627451]
  ...
  [0.9627451 0.9627451 0.9627451]
  [0.9627451 0.9627451 0.9627451]
  [0.9627451 0.9627451 0.9627451]]

 [[1.        1.        1.       ]
  [1.        1.        1.       ]
  [1.        1.        1.       ]
  ...
  [1.        1.        1.       ]
  [1.        1.        1.       ]
  [1.        1.        1.       ]]

 [[1.        1.        1.       ]
  [1.        1.        1.       ]
  [1.        1.        1.       ]
  ...
  [1.        1.        1.       ]
  [1.        1.        1.       ]
  [1.        1.        1.       ]]

 ...

 [[1.        1.        1.       ]
  [1.        1.        1.       ]
  [1.        1.        1.       ]
  ...
  [1.        1.        1.       ]
  [1.        1.        1.       ]
  [1.        1.        1.       ]]

 [[1.        1.        1.       ]
  [1.        1.        1.       ]
  [1.        1.        1.       ]
  ...
  [1.        1.        1.       ]
  [1.        1.        1.       ]
  [1.        1.        1.       ]]

 [[1.        1.        1.       ]
  [1.        1.        1.       ]
  [1.        1.        1.       ]
  ...
  [1.        1.        1.       ]
  [1.        1.        1.       ]
  [1.        1.        1.       ]]], shape=(160, 160, 3), dtype=float32)",fitness,ce5865eb-a556-4bc1-a4f2-50a65006c149.jpg,[0.         0.         0.04336132 ... 0.         0.         0.01801968]
6e65775c-d5ff-4c47-adcf-19b9ef43d1e8.jpg,"tf.Tensor(
[[[ 0.5921569   0.5372549   0.47450984]
  [ 0.57549024  0.5205883   0.45784318]
  [ 0.6009804   0.54607844  0.48333335]
  ...
  [ 0.52156866  0.45882356  0.35686278]
  [ 0.52254903  0.45980394  0.35784316]
  [ 0.52254903  0.45980394  0.35784316]]

 [[ 0.57156867  0.5166667   0.45392162]
  [ 0.59803927  0.5431373   0.4803922 ]
  [ 0.58431375  0.5294118   0.4666667 ]
  ...
  [ 0.4901961   0.427451    0.32549024]
  [ 0.5137255   0.45098042  0.34901965]
  [ 0.5294118   0.4666667   0.36470592]]

 [[ 0.5794118   0.52450985  0.46176475]
  [ 0.5558824   0.50098044  0.43823534]
  [ 0.56960785  0.5147059   0.4519608 ]
  ...
  [ 0.49803925  0.43529415  0.33333337]
  [ 0.5294118   0.4666667   0.36470592]
  [ 0.5264706   0.4637255   0.36176473]]

 ...

 [[-0.9470588  -0.79019606 -0.7980392 ]
  [-0.97156864 -0.9637255  -0.9245098 ]
  [-1.         -0.95490193 -0.9264706 ]
  ...
  [ 0.12156868 -0.41176468 -0.40392154]
  [ 0.12941182 -0.4352941  -0.41176468]
  [ 0.14509809 -0.41960782 -0.3960784 ]]

 [[-0.9009804  -0.71960783 -0.7382353 ]
  [-0.9        -0.6990196  -0.722549  ]
  [-0.9264706  -0.8009804  -0.8009804 ]
  ...
  [ 0.15000005 -0.38333333 -0.3754902 ]
  [ 0.11372554 -0.41960782 -0.41176468]
  [ 0.06176476 -0.47156858 -0.46372545]]

 [[-0.9284314  -0.8813726  -0.8813726 ]
  [-0.85588235 -0.8088235  -0.8088235 ]
  [-0.89705884 -0.85784316 -0.83431375]
  ...
  [-0.01960784 -0.4980392  -0.52156866]
  [-0.00490196 -0.5147059  -0.53039217]
  [ 0.02549025 -0.45294115 -0.47647056]]], shape=(160, 160, 3), dtype=float32)",fitness,6e65775c-d5ff-4c47-adcf-19b9ef43d1e8.jpg,[0.22600098 0.20694391 0.         ... 0.         0.45049194 0.        ]
48eb9b53-273a-4d23-8aa3-f7696db461e1.jpg,"tf.Tensor(
[[[ 0.5529412   0.7176471   0.6627451 ]
  [ 0.5539216   0.71862745  0.6637255 ]
  [ 0.53566176  0.72389704  0.6189951 ]
  ...
  [ 0.5764706   0.77254903  0.8039216 ]
  [ 0.6029412   0.7617647   0.8039216 ]
  [ 0.6         0.75686276  0.84313726]]

 [[ 0.52879906  0.6935049   0.638603  ]
  [ 0.5294118   0.69411767  0.6392157 ]
  [ 0.52450985  0.71274513  0.60784316]
  ...
  [ 0.5469363   0.7430147   0.79791665]
  [ 0.58125     0.73223037  0.8057598 ]
  [ 0.58137256  0.7382353   0.8245098 ]]

 [[ 0.46568632  0.64607847  0.59901965]
  [ 0.47340688  0.65379906  0.5812501 ]
  [ 0.4666667   0.6488971   0.564951  ]
  ...
  [ 0.5246324   0.6971814   0.7834559 ]
  [ 0.55        0.6911765   0.7852941 ]
  [ 0.54509807  0.7019608   0.7882353 ]]

 ...

 [[-0.96862745 -0.8980392  -0.84313726]
  [-0.9607843  -0.8901961  -0.8352941 ]
  [-0.9637255  -0.8931373  -0.8382353 ]
  ...
  [-0.9764706  -0.94509804 -0.9372549 ]
  [-0.9529412  -0.92156863 -0.9137255 ]
  [-0.9764706  -0.9137255  -0.8980392 ]]

 [[-0.9843137  -0.88235295 -0.8117647 ]
  [-0.9441176  -0.8421568  -0.7715686 ]
  [-0.96862745 -0.8666667  -0.79607844]
  ...
  [-0.96862745 -0.9372549  -0.92941177]
  [-0.9735294  -0.94215685 -0.9343137 ]
  [-0.99215686 -0.9137255  -0.92156863]]

 [[-0.9694853  -0.8675245  -0.7969363 ]
  [-0.9535539  -0.8594363  -0.74963236]
  [-0.982353   -0.8666667  -0.7647059 ]
  ...
  [-0.9362745  -0.9284314  -0.8892157 ]
  [-0.9362745  -0.9284314  -0.8892157 ]
  [-0.9197304  -0.9197304  -0.85698533]]], shape=(160, 160, 3), dtype=float32)",fitness,48eb9b53-273a-4d23-8aa3-f7696db461e1.jpg,[0.1637677  0.07597372 1.0381951  ... 0.         0.         0.31171829]
