,image_local_name,hashtags,deep_features,id,features
471,cc6687dc-e2e5-417b-9372-faa5527ed25d.jpg,"['#monsieurbebelife', '#Ivorianbaby', '#monsieurlebebe', '#Babyblogger', '#Ivorianbabymodel', '#Babies', '#Boy', '#monsieurbebe', '#Baby', '#BabyBlog', '#BabyBoy', '#Love', '#BabyJ', '#Babymodel']",[0.2264766  0.04261396 0.7752272  ... 0.52041703 0.         0.07019943],471,"[-0.15784144401550293, 0.5163793563842773, -0.12793965637683868, 0.18206658959388733, 0.373494029045105, -0.3060937225818634, 0.5005286335945129, 0.2650929391384125, 0.0837048664689064, 0.1103835254907608]"
463,bf96dc78-d4f8-4f35-a2ec-9605803a37c7.jpg,"['#cats', '#futuremaman', '#birman', '#maman', '#bebe', '#kitten', '#catofinstagram', '#chat', '#chatons', '#birmanofinstagram', '#birmancatlovers', '#chaton', '#kitty', '#mom', '#bebechat', '#chats', '#momtobe', '#catsofinstagram', '#kittycat', '#babycat', '#birmancat', '#chatteriededaegu', '#kittenoftheday', '#pregnant', '#birmancats', '#baby', '#sacredebirmanie', '#birmancatsofinstagram', '#babies', '#cat']",[0.         1.7325919  0.12030285 ... 0.         1.6522799  0.        ],463,"[-0.057306136935949326, -0.2672276794910431, -0.34839141368865967, 0.21784919500350952, -0.4817352592945099, -0.2889086902141571, -0.8158212900161743, 0.6665682792663574, 0.2743406891822815, 0.4228423237800598]"
833,3b019eed-2e12-4e9a-a49c-ce131257e71e.jpg,"['#pet', '#godoxlighting', '#portraitphotography', '#nikonownermagazine', '#portraits', '#germanshepherddog', '#godoxad', '#landshark', '#dogsofinstagram', '#gsd', '#jessopsmoment', '#animalsofinstagram', '#alsation', '#lencartalighting', '#photosofinstagram', '#photooftheday', '#petportrait', '#animals', '#nikon', '#dog', '#dogportraits', '#petphotography', '#k', '#petsofinstagram', '#germanshepherd', '#dogportrait', '#nikonz']",[0.         0.         0.02940828 ... 0.         0.         0.        ],833,"[-0.3648046553134918, -0.5840925574302673, 0.5952804684638977, -0.32293227314949036, -0.157957062125206, -0.3234892785549164, -0.31765016913414, 0.2552013695240021, 0.6527495384216309, 0.38083192706108093]"
148,08c86967-0dec-45d0-947e-8919b342714b.jpg,"['#nature', '#CzechGirl', '#BeautyOfNature', '#medu', '#GardeningLife', '#LemonBalm', '#zahradnice', '#MoravianGirl', '#p', '#CzechNature', '#zahrada', '#herb', '#CzechRepublic', '#gardening', '#NatureLover', '#bylinka', '#Kr', '#autumn', '#BeautyOfCzechNature', '#podzim', '#lenzden', '#gardener', '#selfie', '#zahradni', '#Medu', '#garden', '#MotherNature']",[0.         0.47515857 0.05419636 ... 0.54891866 0.17177165 0.        ],148,"[-0.11143600195646286, -0.14699919521808624, 0.6774105429649353, -0.2186967432498932, 0.2470490038394928, 0.16654907166957855, 0.2405344545841217, -0.012431801296770573, 0.03821346163749695, -0.9483928084373474]"
540,415c35ed-6177-4be1-b6d1-59e689acb1e9.jpg,"['#td', '#gqpatrol', '#gq', '#kettle', '#patrol']",[0.         0.         1.2779106  ... 0.         0.12574856 0.        ],540,"[0.0040685334242880344, -0.0004095354815945029, -0.001414350001141429, 0.0014243859332054853, 0.010012372396886349, -0.008693738840520382, 0.01626579836010933, 0.01021969597786665, -0.0018760288367047906, 0.0017446654383093119]"
392,5995d3f9-c490-4679-9166-43f614304473.jpg,"['#naturephotography', '#rosa', '#garten', '#nature', '#flowerphotography', '#gartenliebe', '#mygarden', '#photography', '#pflanzenliebe', '#wicken', '#plant', '#flowerlovers', '#flowerstagram', '#flower', '#bl', '#fotografie', '#blumen', '#plantlove', '#pflanzen', '#plantsofinstagram', '#plantbased', '#garden', '#plants', '#hv', '#landschaft', '#landscape', '#natur', '#landscapephotography']",[0.19377403 1.1476535  0.         ... 0.18187101 0.50882506 0.08030178],392,"[-0.5938113927841187, 0.1524101048707962, 0.06216659024357796, -0.3834211230278015, 0.48376256227493286, -0.4522189199924469, -0.10299795120954514, -0.5155220627784729, 0.2621626555919647, -0.6298965811729431]"
243,57febafe-dd43-43f9-9829-5caf53509151.jpg,"['#goodtimes', '#finallytravellingagain', '#planetarium', '#hamburg', '#travel', '#goodfriends', '#nightsky']",[0.07326548 0.02730585 0.08079088 ... 0.         0.         0.        ],243,"[0.2493520826101303, 0.1914612054824829, -0.05842036008834839, -0.14476823806762695, 0.09909228980541229, -0.08634819835424423, -0.2872133255004883, 0.07649596780538559, 0.035760194063186646, -0.2088555246591568]"
737,6a4e887e-7931-4650-941c-ef52cb306c49.jpg,"['#coffeeshop', '#slowlife', '#coffeetime', '#cafehopping', '#cozy', '#mybeigelife', '#livethelittlethings', '#beigeaesthetic', '#coffee', '#plants', '#coffeelover', '#architecture', '#butfirstcoffee', '#decor', '#aesthetic', '#coffeeshopvibes', '#interiordesign', '#coffeeshopcorners', '#minimalism', '#neutrals', '#dessert', '#autumn', '#aesthetics', '#interior', '#cafe', '#furniture', '#baristadaily']",[0.79236585 0.19865471 0.960409   ... 0.03761704 0.22954452 0.        ],737,"[-0.024626007303595543, 0.6821595430374146, 0.23639966547489166, -0.13982877135276794, -0.38670647144317627, 0.3317096531391144, -0.26135221123695374, -0.29040923714637756, 0.5226162075996399, -0.7508570551872253]"
897,8259bcc1-39df-4b15-ab86-67ae8fe02455.jpg,"['#instanaturelover', '#nature', '#igs', '#instagood', '#awesome', '#rabbits', '#tagstagramers', '#tagsta', '#instalife', '#rabbitstagram', '#oreo', '#instanature', '#rabbit', '#vida', '#dayshots', '#fauna', '#animali', '#animalsofinstagram', '#natgeohub', '#ilove', '#naturaleza', '#rabbitsofinstagram', '#wild', '#animals', '#wildlife', '#toptags', '#natura', '#animal']",[0.         0.04125313 1.8614331  ... 0.98354673 0.         0.02711416],897,"[0.01409425400197506, -0.4508216679096222, -0.04718533530831337, -0.2969135046005249, 0.48434165120124817, -0.7784376740455627, -0.12089797109365463, 0.7250401973724365, 0.33128324151039124, 0.3383391201496124]"
858,59e7fada-e5e4-4280-8d65-4078c3dafe94.jpg,"['#animals', '#monkey', '#wroclaw', '#zoo', '#memories']",[0.00607032 0.7616983  1.8169748  ... 0.         0.         0.5956339 ],858,"[-0.0068305740132927895, -0.0427645742893219, 0.09019340574741364, -0.12766143679618835, 0.0008727043168619275, -0.07038763910531998, -0.27968308329582214, 0.2607758939266205, 0.05188293755054474, -0.26904812455177307]"
